Date  ,Open ,High  ,Low  ,Close,Change  ,% Change  ,Volume ,Value 
13-Sep-24,258,260,256,260,1,0.39,4692079,1211683.64
12-Sep-24,261,263,258,259,0,0,8539014,2225227.7
11-Sep-24,258,261,257,259,0,0,6990838,1810084.85
10-Sep-24,258,263,257,259,-1,-0.38,8891123,2310423.6
9-Sep-24,268,269,259,260,-9,-3.35,11222553,2935708.24
6-Sep-24,267,271,265,269,2,0.75,11170683,2996655.77
5-Sep-24,249,268,249,267,19,7.66,17882105,4677786.54
4-Sep-24,247,249,246,248,0,0,3092819,762730.17
3-Sep-24,245,249,245,248,2,0.81,4370379,1078703.73
2-Sep-24,245,247,244,246,-1,-0.4,2816707,691029.01
30-Aug-24,248,248,245,247,1,0.41,7717171,1902308.59
29-Aug-24,250,251,245,246,-4,-1.6,7526761,1869757.12
28-Aug-24,247,252,247,250,3,1.21,8053727,2013049.49
27-Aug-24,248,251,247,247,-1,-0.4,5081606,1264648.47
26-Aug-24,246,249,245,248,1,0.4,4374447,1081436.99
23-Aug-24,243,247,242,247,4,1.65,6217299,1519994.7
22-Aug-24,244,246,241,243,-1,-0.41,4965965,1207218.94
21-Aug-24,245,246,243,244,0,0,2804097,685525.73
20-Aug-24,241,246,241,244,3,1.24,6031015,1469865.44
19-Aug-24,238,241,237,241,0,0,4941813,1184631.63
